,id,product_uid,relevance,len_of_query,word_in_title,word_in_description
0,2,100001,3.0,2,1,1
1,3,100001,2.5,2,1,1
2,9,100002,3.0,2,1,1
3,16,100005,2.33,3,1,1
4,17,100005,2.67,3,3,2
5,18,100006,3.0,2,1,2
6,20,100006,2.67,3,2,2
7,21,100006,3.0,1,1,1
8,23,100007,2.67,2,2,2
9,27,100009,3.0,2,2,2
10,34,100010,2.67,2,1,2
11,35,100011,3.0,5,4,5
12,37,100011,3.0,2,2,2
13,38,100011,2.0,2,1,1
14,48,100012,2.67,6,4,3
15,51,100013,2.67,1,1,1
16,65,100016,3.0,2,2,2
17,69,100017,1.0,2,0,1
18,75,100017,1.67,4,0,0
19,81,100017,2.33,2,0,0
20,85,100017,2.33,2,0,2
21,88,100019,1.33,4,0,2
22,90,100019,2.67,3,1,1
23,92,100019,2.33,2,1,1
24,101,100019,1.33,2,1,1
25,105,100019,2.33,3,1,3
26,106,100019,2.33,3,2,2
27,113,100021,2.0,2,0,1
28,114,100021,2.33,2,0,1
29,117,100022,2.67,3,1,2
30,120,100022,2.0,5,4,4
31,122,100022,2.33,5,3,3
32,123,100023,3.0,6,1,1
33,125,100023,2.0,3,1,2
34,127,100023,2.0,3,1,2
35,136,100026,2.0,3,1,1
36,138,100026,2.33,3,1,1
37,143,100027,2.33,2,0,1
38,147,100028,2.0,4,2,2
39,149,100028,2.67,3,0,2
40,150,100028,1.67,1,0,0
41,157,100028,2.33,3,0,2
42,158,100028,1.67,2,0,2
43,162,100029,3.0,2,1,2
44,164,100030,1.67,3,2,0
45,165,100030,3.0,2,2,2
46,166,100030,1.67,2,1,1
47,172,100033,3.0,3,1,2
48,177,100033,3.0,3,3,3
49,178,100033,1.0,3,1,2
50,179,100033,3.0,4,1,4
51,181,100033,2.67,2,0,1
52,182,100033,2.67,3,0,1
53,186,100033,3.0,2,1,1
54,191,100033,2.67,2,1,2
55,193,100033,3.0,2,1,2
56,195,100034,1.0,2,0,0
57,201,100036,2.33,3,2,2
58,202,100036,2.33,7,6,6
59,203,100036,3.0,4,2,2
60,205,100036,2.33,2,1,1
61,210,100037,2.5,3,1,2
62,214,100038,2.33,5,1,3
63,215,100038,3.0,2,2,2
64,223,100039,2.33,2,1,1
65,226,100039,2.33,3,1,2
66,227,100039,2.33,3,1,2
67,233,100039,3.0,3,2,2
68,241,100042,3.0,5,4,2
69,245,100042,2.33,5,4,4
70,255,100045,2.33,1,1,1
71,257,100046,2.0,2,1,1
72,259,100046,2.0,3,1,1
73,261,100046,2.33,4,2,2
74,266,100046,2.67,1,1,1
75,270,100046,1.67,5,2,4
76,272,100047,3.0,5,4,2
77,275,100047,2.33,2,2,2
78,276,100047,3.0,2,2,2
79,284,100049,2.0,3,2,3
80,290,100050,2.67,2,1,2
81,293,100051,3.0,2,1,1
82,294,100051,3.0,3,3,3
83,297,100051,2.33,1,0,0
84,305,100053,3.0,1,0,0
85,314,100054,3.0,2,2,1
86,318,100054,3.0,3,3,2
87,319,100054,2.67,2,2,2
88,323,100055,2.33,4,3,2
89,327,100055,3.0,3,2,2
90,331,100055,2.0,4,2,2
91,334,100055,2.67,2,2,2
92,335,100055,2.0,3,3,3
93,340,100056,1.33,2,0,0
94,341,100057,2.33,4,3,4
95,343,100057,2.33,2,1,2
96,346,100057,2.0,3,2,2
97,347,100057,1.33,2,2,2
98,350,100057,3.0,2,1,1
99,351,100058,3.0,2,1,0
100,354,100058,2.33,6,0,2
101,355,100058,3.0,2,1,1
102,359,100059,2.67,2,1,2
103,361,100060,2.33,2,1,1
104,363,100060,3.0,2,1,2
105,365,100060,2.33,1,1,1
106,373,100063,2.0,2,2,1
107,374,100063,2.67,2,1,1
108,375,100063,2.67,3,1,1
109,385,100064,2.67,2,0,0
110,389,100065,2.33,4,1,2
111,397,100065,1.33,3,0,0
112,400,100065,2.0,3,2,2
113,401,100065,2.33,4,4,4
114,402,100065,2.0,7,5,5
115,403,100065,2.67,5,2,4
116,407,100065,2.67,2,1,1
117,408,100065,2.33,2,1,1
118,411,100065,2.33,3,1,1
119,413,100065,1.33,4,1,1
120,418,100065,2.33,2,1,2
121,421,100065,2.67,3,2,2
122,422,100065,3.0,3,3,3
123,440,100068,2.33,5,3,3
124,444,100068,2.0,3,2,2
125,445,100068,1.67,2,2,2
126,446,100068,2.67,4,2,4
127,447,100068,3.0,4,3,4
128,452,100068,2.67,5,4,4
129,454,100068,3.0,4,4,4
130,455,100068,2.33,4,3,3
131,456,100068,3.0,3,2,2
132,458,100068,3.0,3,2,2
133,459,100068,1.67,3,2,2
134,461,100069,3.0,2,2,2
135,468,100070,3.0,3,3,3
136,469,100070,3.0,3,3,3
137,470,100070,2.33,5,3,4
138,473,100070,3.0,2,1,1
139,475,100071,2.33,2,1,1
140,476,100071,3.0,2,1,2
141,478,100071,3.0,3,3,3
142,479,100071,1.33,3,2,2
143,480,100072,1.67,4,3,2
144,481,100072,3.0,2,2,1
145,485,100074,3.0,1,0,0
146,491,100076,3.0,3,2,2
147,492,100077,1.67,6,1,3
148,497,100077,3.0,3,1,2
