id,product_uid,relevance,len_of_query,word_in_title,word_in_description
2,100001,3.0,2,1,1
3,100001,2.5,2,1,1
9,100002,3.0,2,1,1
16,100005,2.33,3,1,1
17,100005,2.67,3,3,2
18,100006,3.0,2,1,2
20,100006,2.67,3,2,2
21,100006,3.0,1,1,1
23,100007,2.67,2,2,2
27,100009,3.0,2,2,2
34,100010,2.67,2,1,2
35,100011,3.0,5,4,5
37,100011,3.0,2,2,2
38,100011,2.0,2,1,1
48,100012,2.67,6,4,3
51,100013,2.67,1,1,1
65,100016,3.0,2,2,2
69,100017,1.0,2,0,1
75,100017,1.67,4,0,0
81,100017,2.33,2,0,0
85,100017,2.33,2,0,2
88,100019,1.33,4,0,2
90,100019,2.67,3,1,1
92,100019,2.33,2,1,1
101,100019,1.33,2,1,1
105,100019,2.33,3,1,3
106,100019,2.33,3,2,2
113,100021,2.0,2,0,1
114,100021,2.33,2,0,1
117,100022,2.67,3,1,2
120,100022,2.0,5,4,4
122,100022,2.33,5,3,3
123,100023,3.0,6,1,1
125,100023,2.0,3,1,2
127,100023,2.0,3,1,2
136,100026,2.0,3,1,1
138,100026,2.33,3,1,1
143,100027,2.33,2,0,1
147,100028,2.0,4,2,2
149,100028,2.67,3,0,2
150,100028,1.67,1,0,0
157,100028,2.33,3,0,2
158,100028,1.67,2,0,2
162,100029,3.0,2,1,2
164,100030,1.67,3,2,0
165,100030,3.0,2,2,2
166,100030,1.67,2,1,1
172,100033,3.0,3,1,2
177,100033,3.0,3,3,3
178,100033,1.0,3,1,2
179,100033,3.0,4,1,4
181,100033,2.67,2,0,1
182,100033,2.67,3,0,1
186,100033,3.0,2,1,1
191,100033,2.67,2,1,2
193,100033,3.0,2,1,2
195,100034,1.0,2,0,0
201,100036,2.33,3,2,2
202,100036,2.33,7,6,6
203,100036,3.0,4,2,2
205,100036,2.33,2,1,1
210,100037,2.5,3,1,2
214,100038,2.33,5,1,3
215,100038,3.0,2,2,2
223,100039,2.33,2,1,1
226,100039,2.33,3,1,2
227,100039,2.33,3,1,2
233,100039,3.0,3,2,2
